StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,SpkStageCd_Code,SpkCatCd_Code,AwdCd_Code,AwdLvlTypeCd_Code,FeeLvlTypeCd_Code,StudyTypeCd_Code
SMJ03432,1,24cp Software Engineering sub-major (Data Engineering),Active,SMJ,Sub-Major,24,0,0,0,DC,Electrical and Data Engineering,SMJ03432,Software Engineering (Data Engineering),Software Eng (Data Eng),,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ03433,2,24cp Environmental Engineering Sub-major,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ03433,Environmental Engineering sub-major,Environmental Engineering Sub-,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ04016,1,Architectural Experience Sub-major BAArch,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ04016,Architectural Experience,Arch Exp Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ04023,1,Performative Spaces Sub-major,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ04023,Performative Spaces,Performative Spaces SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ04024,2,24cp Planning sub-major BPropEc,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ04024,Planning,Planning sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ06020,3,Anaesthetics and Post Anaesthetic Care Unit sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06020,Anaesthetics and Post Anaesthetic Care Unit,Anaesthetics and Post Anaesthe,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06022,2,Paediatric Nursing Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06022,Paediatric Nursing,Paediatric Nursing Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06023,2,24cp Critical Care Nursing Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06023,Critical Care Nursing,Critical Care Nursing Submajor,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06024,1,Mental Health Nursing Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06024,Mental Health Nursing,Mental Health Nursing Submajor,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06025,1,Neonatal Nursing Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06025,Neonatal Nursing,Neonatal Nursing Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06026,1,Neuroscience Nursing Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06026,Neuroscience Nursing,Neuroscience Nursing Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06027,2,Perioperative Nursing Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06027,Perioperative Nursing,Perioperative Nursing Submajor,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06032,3,24cp Acute Care Nursing Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06032,Acute Care Nursing,Acute Care Nursing Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06033,1,Child and Family Health Nursing Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06033,Child and Family Health Nursing,Child and Family Health Nursin,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ06034,2,Diabetes Education and Management Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ06034,Diabetes Education and Management,Diabetes Education and Managem,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ07002,2,24cp Education Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ07002,Education,Education,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ08037,5,Operations and Supply Chain Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08037,Operations and Supply Chain,Operations Supply Chain SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08038,4,Strategic Management Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08038,Strategic Management,Strategic Management Submajor,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08066,5,Human Resources Management Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08066,Human Resources Management,Human Resources Management,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08075,2,Engineering Management Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ08075,Engineering Management,Engineering Management SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ08084,3,Marketing sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08084,Marketing,Marketing,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08086,6,24cp Project Management sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ08086,Project Management,Project Management sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ08098,7,24cp Accounting Information Systems sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08098,Accounting Information Systems,Acc Info Sys,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08109,3,Management Consulting sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08109,Management Consulting,Management Consulting smj,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08111,7,Marketing Research Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08111,Marketing Research,Marketing Research Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08116,4,Financial Reporting Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08116,Financial Reporting,Financial Reporting SMJ BBus,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08120,8,Business Innovation and Financial Management Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08120,Business Innovation and Financial Management,Business Innovation and Finan,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08123,4,Finance Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08123,Finance,Finance Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08126,6,Sport Management Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08126,Sport Management,Sport Management SMJ BBus,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08128,3,Human Resource Management Sub-major BBus BAOrgLearn,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08128,Human Resource Management,HR Management SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08129,5,International Management Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08129,International Management,International Management SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08130,3,Management Sub-major BBus BAOrgLearn,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08130,Management,Management Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08131,5,Advanced Advertising Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08131,Advanced Advertising,Advanced Advertising SMJ BBus,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08137,3,Advertising Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08137,Advertising,Advertising SMJ BBus,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08138,5,Marketing Submajor BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08138,Marketing,Marketing SMJ BBus,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08139,1,International Business Studies Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08139,International Business Studies,Int Bus Studies,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08147,3,Finance Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08147,Finance,Finance Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08148,5,International Business Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08148,International Business,International Bus Submajor MBA,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08153,3,Strategic Communication sub-major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ08153,Strategic Communication,Strategic Communication,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ08155,7,Sport Management Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08155,Sport Management,Sport Management SMJ MBA,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08184,1,Strategic Marketing sub-major MPP,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08184,Strategic Marketing,Strategic Marketing,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08194,6,24cp Leadership and Management Sub-major,Active,SMJ,Sub-Major,24,0,0,0,J,Health,SMJ08194,Leadership and Management,Leadership and Management,,,NA,0,Not Applicable,Submajor,,,,,,10090,AC,SM,,,,$NAP
SMJ08195,6,Accounting in Practice sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08195,Accounting in Practice,Accounting in Practice sub maj,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08197,2,Marketing Principles Sub-major BSc IT,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08197,Marketing Principles,Marketing Principles BScIT,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08198,2,Advertising Principles Sub-Major BSc IT,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08198,Advertising Principles,Advertising Principles BScIT,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08201,1,Marketing Research,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08201,Marketing Research,Marketing Research,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08202,1,Finance,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08202,Finance,Finance,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08203,5,Event Management Submajor,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08203,Event Management,Event Management,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08204,3,Strategic Marketing,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08204,Strategic Marketing,Strategic Marketing,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08205,2,Strategic Marketing Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08205,Strategic Marketing,Strategic Mktg Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08206,3,Research Methods Submajor BPropEc,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ08206,Research Methods,Research Methods SMJ BPropEc,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ08207,1,Marketing,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08207,Marketing,Marketing,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08208,5,Management Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08208,Management,Management SMJ MBA,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08209,5,Not-for-Profit and Social Enterprise Management Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08209,Not-for-Profit and Social Enterprise Management,NFP and Social Enterprise Mgt,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08213,4,Event Management Sub-major,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08213,Event Management,Event Management SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08215,1,Financial Services Sub-major,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ08215,Financial Services,Financial Services Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08216,2,24cp Business,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ08216,Business,Business,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ08217,4,24cp Construction sub-major,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ08217,Construction,Construction sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ08218,2,24cp Health Sub-major DAB,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ08218,Health (DAB),Health Sub-major DAB,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ08219,1,Sustainable Enterprise Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,BB,Management,SMJ08219,Sustainable Enterprise,Sustainable Enterprise Sub-maj,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08220,3,Events sub-major,Active,SMJ,Sub-Major,24,0,0,0,BB,Management,SMJ08220,Events,Events sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08221,2,Sports sub-major,Active,SMJ,Sub-Major,24,0,0,0,BB,Management,SMJ08221,Sports,Sports sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ08223,2,Digital Creative Enterprise sub-major BM,Active,SMJ,Sub-Major,24,0,0,0,BB,Management,SMJ08223,Digital Creative Enterprise,Digital Creative Enterprise,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ09028,5,Economics Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ09028,Economics,Economics Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ09030,2,Business Law Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,L,Law,SMJ09030,Business Law,Business Law Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10080,AC,SM,,,,$NAP
SMJ09033,3,Taxation Law Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,L,Law,SMJ09033,Taxation Law,Taxation Law Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10080,AC,SM,,,,$NAP
SMJ09034,2,International Studies sub-major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ09034,International Studies,Int Stud sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10050,AC,SM,,,,$NAP
SMJ09035,1,Language other than English (LOTE) Sub-major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ09035,Language other than English,LOTE Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10050,AC,SM,,,,$NAP
SMJ09036,1,Specialist Country Studies Sub-major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ09036,Specialist Country Studies,Spec Country Stud Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10050,AC,SM,,,,$NAP
SMJ09037,4,Business Law Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,L,Law,SMJ09037,Business Law,Business Law Sub-major MBA,,,NA,0,Not Applicable,Submajor,,,,,,10080,AC,SM,,,,$NAP
SMJ09040,7,Introductory Economics Sub-major BScIT,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ09040,Introductory Economics,Introductory Economics,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ09049,2,Reading Australia sub-major BAComm,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ09049,Reading Australia,Reading Australia,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ09052,3,Aboriginal Studies sub-major BAComm,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ09052,Aboriginal Studies,Aboriginal Studies,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ09058,3,Econometrics Sub-major BBus,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ09058,Econometrics,Econometrics SMJ BBus,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ09059,3,Business Law Submajor JDMBA,Active,SMJ,Sub-Major,24,0,0,0,L,Law,SMJ09059,Business Law,Business Law SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10080,AC,SM,,,,$NAP
SMJ10016,2,Furniture Design Sub-major BDes,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ10016,Furniture Design,Furn Des Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ10017,3,Design for Theatre Sub-major BDes,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ10017,Design for Theatre,Design for Theatre Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ10020,4,Architectural Studies sub-major BAArch,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ10020,Architectural Studies,Architectural Studies smj,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ10028,2,International Exchange Sub-major MBA,Active,SMJ,Sub-Major,24,0,0,0,B,Business,SMJ10028,International Exchange,Intl Exchange Sub-major MBA,,,NA,0,Not Applicable,Submajor,,,,,,10010,AC,SM,,,,$NAP
SMJ10030,2,Nanotechnology Sub-major BSc,Active,SMJ,Sub-Major,24,0,0,0,N,Science,SMJ10030,Nanotechnology,Nanotechnology,,,NA,0,Not Applicable,Submajor,,,,,,10100,AC,SM,,,,$NAP
SMJ10031,2,Physics Sub-major BSc,Active,SMJ,Sub-Major,24,0,0,0,N,Science,SMJ10031,Physics,Physics,,,NA,0,Not Applicable,Submajor,,,,,,10100,AC,SM,,,,$NAP
SMJ10032,3,Media Studies sub-major BAComm,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10032,Media Studies,Media Studies,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10035,2,Image Studies Sub-major BDesignPSM,Active,SMJ,Sub-Major,24,0,0,0,AD,Design,SMJ10035,Image Studies,Image Studies SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ10036,2,Innovation Technologies,Active,SMJ,Sub-Major,24,0,0,0,AD,Design,SMJ10036,Innovation Technologies,Innovation Technologies,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ10037,1,Composition Sub-major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10037,Composition,Composition Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10038,1,Interaction Design Sub-major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10038,Interaction Design,Interaction Design Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10040,2,Communication Sub-major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10040,Communication,Communication,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10042,1,Media Arts and Production Sub-major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10042,Media Arts and Production,Media Arts and Production SMJ,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10043,1,Journalism Sub-major MMAP,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10043,Journalism,Journalism Sub-major MMAP,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10044,1,Screenwriting Sub-major MMAP,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10044,Screenwriting,Screenwriting Sub-major MMAP,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10047,1,VFX Design Sub-major,Active,SMJ,Sub-Major,24,0,0,0,A,"Design, Architecture and Building",SMJ10047,VFX Design,VFX Design Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10020,AC,SM,,,,$NAP
SMJ10048,1,Network Security Sub-Major BE and BEDipEngPrac,Active,SMJ,Sub-Major,54,0,0,0,D,Engineering and Information Technology,SMJ10048,Network Security,Network Security Sub-Major BE,,,NA,0,Not Applicable,Submajor,,,,,,10070,AC,SM,,,,$NAP
SMJ10049,1,Network Security Sub-Major BE BA BEngSci,Active,SMJ,Sub-Major,42,0,0,0,D,Engineering and Information Technology,SMJ10049,Network Security,Network Security SMJ BE BA BEn,,,NA,0,Not Applicable,Submajor,,,,,,10070,AC,SM,,,,$NAP
SMJ10050,1,Network Security Sub-Major BEBBus and BEBSc,Active,SMJ,Sub-Major,48,0,0,0,D,Engineering and Information Technology,SMJ10050,Network Security,Network Security Sub-Major BEB,,,NA,0,Not Applicable,Submajor,,,,,,10070,AC,SM,,,,$NAP
SMJ10052,2,Transnational Studies B Global Studies,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10052,Transnational Studies (Global Studies),Transnational Studies BGS,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10053,1,Biomedical Engineering Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10053,Biomedical Engineering,Biomedical Engineering Submajo,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10054,1,Civil Engineering Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10054,Civil Engineering,Civil Engineering Submajor,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10055,1,Geotechnical Engineering Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10055,Geotechnical Engineering,Geotechnical Engineering Subma,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10056,1,Structural Engineering Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10056,Structural Engineering,Structural Engineering Submajo,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10058,1,Computer Control Engineering Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10058,Computer Control Engineering,Computer Control Engineering S,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10059,1,Environmental Engineering Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10059,Environmental Engineering,Environmental Engineering Subm,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10061,1,Manufacturing Engineering and Management Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10061,Manufacturing Engineering and Management,Manufacturing Engineering and,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10062,1,Operations Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10062,Operations,Operations Submajor,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10063,1,Software Systems Engineering Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10063,Software Systems Engineering,Software Systems Engineering S,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10065,2,24cp Telecommunications and Electronics sub-major (ME Ext),Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10065,Telecommunications and Electronics,Telecommunications and Electro,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10066,1,Water Engineering Submajor,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10066,Water Engineering,Water Engineering Submajor,,,NA,0,Not Applicable,Submajor,,,,,,10060,AC,SM,,,,$NAP
SMJ10068,1,Professional Sub-Major,Active,SMJ,Sub-Major,24,0,0,0,G,Arts and Social Sciences,SMJ10068,Professional,Professional Sub-Major,,,NA,0,Not Applicable,Submajor,,,,,,10030,AC,SM,,,,$NAP
SMJ10069,1,Business Information Systems Sub-major,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10069,Business Information Systems,Business Information Systems,,,NA,0,Not Applicable,Submajor,,,,,,10070,AC,SM,,,,$NAP
SMJ10070,1,Internetworking Sub-major,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10070,Internetworking,Internetworking Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10070,AC,SM,,,,$NAP
SMJ10071,1,Data Analytics Sub-major,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10071,Data Analytics,Data Analytics Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10070,AC,SM,,,,$NAP
SMJ10072,1,Interactive Media Sub-major,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10072,Interactive Media,Interactive Media Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10070,AC,SM,,,,$NAP
SMJ10073,1,Software Development Sub-major,Active,SMJ,Sub-Major,24,0,0,0,D,Engineering and Information Technology,SMJ10073,Software Development,Software Development Sub-major,,,NA,0,Not Applicable,Submajor,,,,,,10070,AC,SM,,,,$NAP
