StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,FOE,Study area,,,,,
17907,1,Urban Economics and Infrastructure Funding,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17907,Urban Economics and Infrastructure Funding,Urban Economics and Infrastruc,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17907,2,Urban Economics and Infrastructure Planning,Draft,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17907,Urban Economics and Infrastructure Planning,Urban Economics and Infrastruc,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17908,2,Planning and Environmental Law in Australia,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17908,Planning and Environmental Law in Australia,Planning and Environmental Law,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17909,1,Local Strategic Planning,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17909,Local Strategic Planning,Local Strategic Planning,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17910,1,Spatial Analysis (GIS),Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17910,Spatial Analysis (GIS),Spatial Analysis (GIS),31199,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,"Geomatic Engineering, n.e.c.","Design, Architecture and Building",,,,,
17911,1,Structure Planning,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17911,Structure Planning,Structure Planning,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17912,1,Development Negotiation and Community Engagement,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17912,Development Negotiation and Community Engagement,Development Negotiation and Co,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17913,1,Urban Redevelopment,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17913,Urban Redevelopment,Urban Redevelopment,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17914,1,Major Project 1,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17914,Major Project 1,Major Project 1,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17915,1,Major Project 2,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17915,Major Project 2,Major Project 2,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17916,2,Urban Design Studio 1: Urban Morphology,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17916,Urban Design Studio 1: Urban Morphology,Urban Design Studio 1: Urban M,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17917,2,Urban Design Studio 2: Place-making,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17917,Urban Design Studio 2: Place-making,Urban Design Studio 2: Place-m,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17918,2,Urban Design Studio 3: Transit Neighbourhoods,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17918,Urban Design Studio 3: Transit Neighbourhoods,Urban Design Studio 3: Transit,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17919,2,Urban Design Studio 4: Special Project (Part 1),Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17919,Urban Design Studio 4: Special Project (Part 1),Urban Design Studio 4: Special,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17920,2,Urban Design Studio 5: Special Project (Part 2),Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17920,Urban Design Studio 5: Special Project (Part 2),Urban Design Studio 5: Special,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
17921,1,Planning and Urban Design Professional Practice,Active,SJ,Subject,6,0,0,0,AB,School of the Built Environment,17921,Planning and Urban Design Professional Practice,Planning and Urban Design Prof,40103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Urban Design and Regional Planning,"Design, Architecture and Building",,,,,
18700,1,Research Dissertation 3 (Education),Active,SJ,Subject,24,0,0,0,G,Arts and Social Sciences,18700,Research Dissertation 3 (Education),Research Dissertation 3 (Educa,79999,,NA,0,Coursework,Subject,,PN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
18701,1,Research Dissertation 4 (Education),Active,SJ,Subject,24,0,0,0,G,Arts and Social Sciences,18701,Research Dissertation 4 (Education),Research Dissertation 4 (Educa,79999,,NA,0,Coursework,Subject,,PN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
18723,2,Research Dissertation 1 (Education),Active,SJ,Subject,24,0,0,0,G,Arts and Social Sciences,18723,Research Dissertation 1,Research Dissertation 1 (Edu),79999,,NA,0,Coursework,Subject,,PN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
18723,4,Research Dissertation 1 (DAB),Active,SJ,Subject,24,0,0,0,A,"Design, Architecture and Building",18723,Research Dissertation 1,Research Dissertation 1 (DAB),40199,,NA,0,Coursework,Subject,,PN,P,UDFP Funding Cluster,6,10020,"Architecture and Urban Environment, n.e.c.","Design, Architecture and Building",,,,,
18724,2,Research Dissertation 2 (Education),Active,SJ,Subject,24,0,0,0,G,Arts and Social Sciences,18724,Research Dissertation 2,Research Dissertation 2 (Edu),79999,,NA,0,Coursework,Subject,,PN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
18724,3,Research Dissertation 2 (DAB),Active,SJ,Subject,24,0,0,0,SG,Graduate Research School,18724,Research Dissertation 2,Research Dissertation 2 (DAB),40199,,NA,0,Coursework,Subject,,PN,P,UDFP Funding Cluster,6,10020,"Architecture and Urban Environment, n.e.c.","Design, Architecture and Building",,,,,
19950,1,EdD Thesis: Education,Active,TT,Thesis Time Based,0,0,0,0,G,Arts and Social Sciences,19950,EdD Thesis: Education,EdD Thesis: Education,70303,,NA,0,Higher Degree Research,Subject,,HR,,UDFP Funding Cluster,11,10040,Education Studies,Education,,,,,
19981,2,Thesis (Doctor of Education),Active,TT,Thesis Time Based,0,0,0,0,G,Arts and Social Sciences,19981,Thesis (Doctor of Education),Thesis (Doctor of Education),70303,,NA,0,Higher Degree Research,Subject,,PN,,,,10040,Education Studies,Education,,,,,
19982,2,PhD Thesis: Education,Active,TT,Thesis Time Based,0,0,0,0,G,Arts and Social Sciences,19982,PhD Thesis: Education,PhD Thesis: Education,70303,,NA,0,Higher Degree Research,Subject,,PN,,,,10040,Education Studies,Education,,,,,
20100,2,Integrating Business Perspectives,Active,SJ,Subject,6,0,0,0,BB,Management,20100,Integrating Business Perspectives,Integrating Business Perspecti,80300,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business and Management,Business,,,,,
20101,1,Management Skills,Active,SJ,Subject,6,0,0,0,BB,Management,20101,Management Skills,Management Skills,80300,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business and Management,Business,,,,,
20102,2,The Global Context of Management,Active,SJ,Subject,6,0,0,0,BB,Management,20102,The Global Context of Management,The Global Context of Manageme,80300,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business and Management,Business,,,,,
20103,2,Global Operations and Supply Chain Management,Active,SJ,Subject,6,0,0,0,BB,Management,20103,Global Operations and Supply Chain Management,Global Operations and Supply C,80300,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business and Management,Business,,,,,
20104,2,Human Resource Management,Active,SJ,Subject,6,0,0,0,BB,Management,20104,Human Resource Management,Human Resource Management,80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
20104,3,Introduction to Human Resource Management,Draft,SJ,Subject,6,0,0,0,BB,Management,20104,Introduction to Human Resource Management,Introduction to Human Resource,80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
20105,2,Innovation and Entrepreneurship,Active,SJ,Subject,6,0,0,0,BB,Management,20105,Innovation and Entrepreneurship,Innovation and Entrepreneurshi,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
20106,2,Management Capstone,Active,SJ,Subject,6,0,0,0,BB,Management,20106,Management Capstone,Management Capstone,80300,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business and Management,Business,,,,,
20107,2,Sustainable Enterprise,Active,SJ,Subject,6,0,0,0,BB,Management,20107,Sustainable Enterprise,Sustainable Enterprise,80300,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business and Management,Business,,,,,
20108,1,Introduction to International Business,Draft,SJ,Subject,6,0,0,0,BF,Finance,20108,Introduction to International Business,Introduction to International,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
20109,1,Introduction to Strategy,Draft,SJ,Subject,6,0,0,0,BF,Finance,20109,Introduction to Strategy,Introduction to Strategy,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
20110,1,Transnational Management,Draft,SJ,Subject,6,0,0,0,BF,Finance,20110,Transnational Management,Transnational Management,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
20111,1,Understanding Organisations: Theory and Practice,Draft,SJ,Subject,6,0,0,0,BF,Finance,20111,Understanding Organisations: Theory and Practice,Understanding Organisations: T,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
20112,1,Business Ethics and Sustainability,Draft,SJ,Subject,6,0,0,0,BF,Finance,20112,Business Ethics and Sustainability,Business Ethics and Sustainabi,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
20115,1,International Business Capstone,Draft,SJ,Subject,6,0,0,0,BF,Finance,20115,International Business Capstone,International Business Capston,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
20212,1,Professional Experience for In-Service Teachers,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,20212,Professional Experience for In-Service Teachers,Professional Experience for In,70105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,11,10040,Teacher Education: Secondary,Education,,,,,
20213,1,Maths Methods for In-Service Teachers (Year 7-12),Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,20213,Maths Methods for In-Service Teachers (Year 7-12),Maths Methods for In-Service T,70100,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,11,10040,Teacher Education,Education,,,,,
20300,2,International Trade and Investment,Active,SJ,Subject,6,0,0,0,BE,Economics,20300,International Trade and Investment,International Trade and Invest,91901,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Economics,Business,,,,,
20400,2,International Marketing,Active,SJ,Subject,6,0,0,0,BM,Marketing,20400,International Marketing,International Marketing,80505,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Marketing,Business,,,,,
20500,2,Financial Valuation and Strategy (Capstone),Active,SJ,Subject,6,0,0,0,BF,Finance,20500,Financial Valuation and Strategy (Capstone),Financial Valuation and Strate,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20501,2,International Financial Management,Active,SJ,Subject,6,0,0,0,BF,Finance,20501,International Financial Management,International Financial Manage,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20502,2,International Banking Management,Active,SJ,Subject,6,0,0,0,BF,Finance,20502,International Banking Management,International Banking Manageme,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20503,2,Investment Analysis and Risk Management,Active,SJ,Subject,6,0,0,0,BF,Finance,20503,Investment Analysis and Risk Management,Investment Analysis and Risk M,81105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Investment and Securities,Business,,,,,
20505,2,The Financial System,Active,SJ,Subject,6,0,0,0,BF,Finance,20505,The Financial System,The Financial System,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20506,2,Fixed Income Securities,Active,SJ,Subject,6,0,0,0,BF,Finance,20506,Fixed Income Securities,Fixed Income Securities,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20507,1,Corporate Finance,Active,SJ,Subject,6,0,0,0,BF,Finance,20507,Corporate Finance,Corporate Finance,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20508,1,Ethics in Finance,Active,SJ,Subject,6,0,0,0,BF,Finance,20508,Ethics in Finance,Ethics in Finance,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20509,1,Applied Portfolio Management,Active,SJ,Subject,6,0,0,0,BF,Finance,20509,Applied Portfolio Management,Applied Portfolio Management,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20510,1,Investment Analysis,Active,SJ,Subject,6,0,0,0,BF,Finance,20510,Investment Analysis,Investment Analysis,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20511,1,Financial Metrics for Decision Making,Draft,SJ,Subject,6,0,0,0,BF,Finance,20511,Financial Metrics for Decision Making,Financial Metrics for Decision,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20512,1,Derivative Securities,Draft,SJ,Subject,6,0,0,0,BF,Finance,20512,Derivative Securities,Derivative Securities,81105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Investment and Securities,Business,,,,,
20513,1,Applied Financial Decision Making (Capstone),Draft,SJ,Subject,6,0,0,0,BF,Finance,20513,Applied Financial Decision Making (Capstone),Applied Financial Decision Mak,81101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Banking and Finance,Business,,,,,
20600,2,Collaborative Business Processes,Active,SJ,Subject,6,0,0,0,B,Business,20600,Collaborative Business Processes,Collaborative Business Process,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
20602,2,Management Information Systems,Active,SJ,Subject,6,0,0,0,B,Business,20602,Management Information Systems,Management Information Systems,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21036,2,Managing Strategic Performance,Active,SJ,Subject,6,0,0,0,BB,Management,21036,Managing Strategic Performance,Managing Strategic Performance,80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21037,2,Managing Employee Relations,Active,SJ,Subject,6,0,0,0,BB,Management,21037,Managing Employee Relations,Managing Employee Relations,80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21060,4,Advocacy and Social Change,Active,SJ,Subject,6,0,0,0,B,Business,21060,Advocacy and Social Change,Advocacy and Social Change,80307,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Organisation Management,Business,,,,,
21061,4,Business Model Generation (Project),Active,SJ,Subject,6,0,0,0,B,Business,21061,Business Model Generation (Project),Business Model Generation (Pro,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21062,4,Business Operations and Risk Management (Project),Active,SJ,Subject,6,0,0,0,B,Business,21062,Business Operations and Risk Management (Project),Business Operations and Risk M,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21063,4,Contemporary Issues in the Indigenous Context (Project),Active,SJ,Subject,6,0,0,0,B,Business,21063,Contemporary Issues in the Indigenous Context (Project),Contemporary Issues in the Ind,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
21064,4,Enterprise Risk Management,Active,SJ,Subject,6,0,0,0,B,Business,21064,Enterprise Risk Management,Enterprise Risk Management,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21065,4,"Government, Community and Organisations (Project)",Active,SJ,Subject,6,0,0,0,B,Business,21065,"Government, Community and Organisations (Project)",Government Community and Orga,80307,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Organisation Management,Business,,,,,
21066,4,Innovation and Entrepreneurship,Active,SJ,Subject,6,0,0,0,B,Business,21066,Innovation and Entrepreneurship,Innovation and Entrepreneurshi,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21067,4,Managing People and Work,Active,SJ,Subject,6,0,0,0,B,Business,21067,Managing People and Work,Managing People and Work,80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21068,4,Negotiations: Theory and Practice,Active,SJ,Subject,6,0,0,0,B,Business,21068,Negotiations: Theory and Practice,Negotiations Theory and Pract,80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21069,4,Operations Management,Active,SJ,Subject,6,0,0,0,B,Business,21069,Operations Management,Operations Management,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21070,4,Opportunity Recognition and Ideation,Active,SJ,Subject,6,0,0,0,B,Business,21070,Opportunity Recognition and Ideation,Opportunity Recognition and Id,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21071,4,People Management (Project),Active,SJ,Subject,6,0,0,0,B,Business,21071,People Management (Project),People Management (Project),80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21072,4,Performance Management: Theory and Practice,Active,SJ,Subject,6,0,0,0,B,Business,21072,Performance Management: Theory and Practice,Performance Mgmt Theory and Pr,80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21073,4,Resource Development (Project),Active,SJ,Subject,6,0,0,0,B,Business,21073,Resource Development (Project),Resource Development (Project),81100,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Banking, Finance and Related Fields",Business,,,,,
21074,3,Supply Chain Management,Active,SJ,Subject,6,0,0,0,B,Business,21074,Supply Chain Management,Supply Chain Management,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21075,4,Sustainable Value Creation,Active,SJ,Subject,6,0,0,0,B,Business,21075,Sustainable Value Creation,Sustainable Value Creation,80307,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Organisation Management,Business,,,,,
21076,4,The Economic and Social Landscape,Active,SJ,Subject,6,0,0,0,B,Business,21076,The Economic and Social Landscape,The Economic and Social Landsc,91901,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Economics,Business,,,,,
21077,4,Understanding Organisations,Active,SJ,Subject,6,0,0,0,B,Business,21077,Understanding Organisations,Understanding Organisations,80307,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Organisation Management,Business,,,,,
21129,5,Managing People and Organisations,Active,SJ,Subject,6,0,0,0,BB,Management,21129,Managing People and Organisations,Managing People Organisations,80307,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,Organisation Management,Business,,,,,
21212,1,People and Organisations,Active,SJ,Subject,6,0,0,0,BB,Management,21212,People and Organisations,People and Organisations,80307,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,Organisation Management,Business,,,,,
21214,1,Business and Social Impact,Active,SJ,Subject,6,0,0,0,BB,Management,21214,Business and Social Impact,Business and Social Impact,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
21227,6,Innovation and Entrepreneurship,Active,SJ,Subject,6,0,0,0,BB,Management,21227,Innovation and Entrepreneurship,Innovation Entrepreneurship,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
21228,3,Management Consulting,Active,SJ,Subject,6,0,0,0,BB,Management,21228,Management Consulting,Management Consulting,80399,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21252,4,Accounting for Managerial Practice,Active,SJ,Subject,6,0,0,0,B,Business,21252,Accounting for Managerial Practice,Accounting for Managerial Prac,91901,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Economics,Business,,,,,
21393,4,The Business Environment,Active,SJ,Subject,6,0,0,0,B,Business,21393,The Business Environment,The Business Environment,80300,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business and Management,Business,,,,,
21407,5,Strategic Human Resource Management,Active,SJ,Subject,6,0,0,0,BB,Management,21407,Strategic Human Resource Management,Strategic Human Resource Mgt,80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21440,4,Management Skills,Active,SJ,Subject,6,0,0,0,BB,Management,21440,Management Skills,Management Skills,80305,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Personal Management Training,Business,,,,,
21492,4,Competitive Positioning,Active,SJ,Subject,6,0,0,0,B,Business,21492,Competitive Positioning,Competitive Positioning,80505,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Marketing,Business,,,,,
21493,4,Principles of Marketing,Active,SJ,Subject,6,0,0,0,B,Business,21493,Principles of Marketing,Principles of Marketing,80505,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Marketing,Business,,,,,
21504,1,Management Capstone,Active,SJ,Subject,6,0,0,0,BB,Management,21504,Management Capstone,Management Capstone,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
21505,1,Human Resource Management (Capstone),Active,SJ,Subject,6,0,0,0,BB,Management,21505,Human Resource Management (Capstone),Human Resource Mgt (Capstone),80303,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21506,2,International Business Capstone,Active,SJ,Subject,6,0,0,0,BB,Management,21506,International Business Capstone,International Business Capston,80311,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,International Business,Business,,,,,
21510,4,Introduction to Strategy,Active,SJ,Subject,6,0,0,0,BB,Management,21510,Introduction to Strategy,Introduction to Strategy,80301,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
21511,2,Global Operations and Supply Chain Management,Active,SJ,Subject,6,0,0,0,BB,Management,21511,Global Operations and Supply Chain Management,Global Operations Supply Chain,89999,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Management and Commerce, n.e.c.",Business,,,,,
21512,1,Understanding Organisations: Theory and Practice,Active,SJ,Subject,6,0,0,0,BB,Management,21512,Understanding Organisations: Theory and Practice,Understanding Organisations,80307,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,Organisation Management,Business,,,,,
21513,1,Business Ethics and Sustainability,Active,SJ,Subject,6,0,0,0,BB,Management,21513,Business Ethics and Sustainability,Business Ethics Sustainability,80301,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
21514,1,Introduction to International Business,Active,SJ,Subject,6,0,0,0,BB,Management,21514,Introduction to International Business,Introduction to International,80311,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,International Business,Business,,,,,
21555,5,Introduction to Human Resource Management,Active,SJ,Subject,6,0,0,0,BB,Management,21555,Introduction to Human Resource Management,Introduction to Human Resource,80303,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,Human Resource Management,Business,,,,,
21591,6,Transnational Management,Active,SJ,Subject,6,0,0,0,BB,Management,21591,Transnational Management,Transnational Management,80301,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business Management,Business,,,,,
21595,5,International Management Field Study,Active,SJ,Subject,6,0,0,0,BB,Management,21595,International Management Field Study,International Management Field,80311,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,International Business,Business,,,,,
21596,4,Investment and Financing Decisions,Active,SJ,Subject,6,0,0,0,B,Business,21596,Investment and Financing Decisions,Investment and Financing Decis,81100,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Banking, Finance and Related Fields",Business,,,,,
21597,4,Principles of Money and Finance,Active,SJ,Subject,6,0,0,0,B,Business,21597,Principles of Money and Finance,Principles of Money and Financ,81100,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,"Banking, Finance and Related Fields",Business,,,,,
21603,1,Advocacy and Social Change,Draft,SJ,Subject,6,0,0,0,BB,Management,21603,Advocacy and Social Change,Advocacy and Social Change,80300,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,2,10010,Business and Management,Business,,,,,
21635,3,Sport Business and Practice,Active,SJ,Subject,6,0,0,0,BB,Management,21635,Sport Business and Practice,Sport Business and Practice,80399,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
21636,2,Developing Sustainable Destinations,Active,SJ,Subject,6,0,0,0,BB,Management,21636,Developing Sustainable Destinations,Developing Sustainable Destina,80701,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,Tourism,Business,,,,,
21637,2,Event and Entertainment Contexts,Active,SJ,Subject,6,0,0,0,BB,Management,21637,Event and Entertainment Contexts,Event and Entertainment Contex,80399,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,2,10010,"Business and Management, n.e.c.",Business,,,,,
