StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,SpkStageCd_Code,SpkCatCd_Code,AwdCd_Code,AwdLvlTypeCd_Code,FeeLvlTypeCd_Code,StudyTypeCd_Code,,,,,,,,,,,
C04310,3,Master of Engineering Management,Active,MC,Master's Coursework,72,0,0,0,D,Engineering and Information Technology,C04310,Master of Engineering Management,MEM,30000,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10060,No,No,,0,48,48,30/06/2022,17/08/2022,17/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04310,3,Master of Engineering Management,Active,MC,Master's Coursework,72,0,0,0,D,Engineering and Information Technology,C04310,Master of Engineering Management,MEM,30000,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,30/06/2022,17/08/2022,17/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04315,1,Master of Property Development and Investment,Active,MC,Master's Coursework,96,0,0,0,A,"Design, Architecture and Building",C04315,Master of Property Development and Investment,MProperty Development and Inve,40199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10020,No,No,,0,48,60,4/08/2015,18/05/2023,18/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04315,1,Master of Property Development and Investment,Active,MC,Master's Coursework,96,0,0,0,A,"Design, Architecture and Building",C04315,Master of Property Development and Investment,MProperty Development and Inve,40199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,60,4/08/2015,18/05/2023,18/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04316,3,Master of Property Development and Planning,Active,MC,Master's Coursework,96,0,0,0,A,"Design, Architecture and Building",C04316,Master of Property Development and Planning,M Prop Dev and Planning,40199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10020,No,No,,0,48,60,23/04/2019,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04316,3,Master of Property Development and Planning,Active,MC,Master's Coursework,96,0,0,0,A,"Design, Architecture and Building",C04316,Master of Property Development and Planning,M Prop Dev and Planning,40199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,60,23/04/2019,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04317,1,Master of Property Development and Project Management,Active,MC,Master's Coursework,96,0,0,0,A,"Design, Architecture and Building",C04317,Master of Property Development and Project Management,MProperty Development and PM,40199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10020,No,No,,0,48,60,4/08/2015,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04317,1,Master of Property Development and Project Management,Active,MC,Master's Coursework,96,0,0,0,A,"Design, Architecture and Building",C04317,Master of Property Development and Project Management,MProperty Development and PM,40199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,60,4/08/2015,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04321,2,Master of Advanced Journalism,Active,MC,Master's Coursework,72,0,0,0,G,Arts and Social Sciences,C04321,Master of Advanced Journalism,Master of Advanced Journalism,100703,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10030,No,No,,0,48,48,11/03/2021,19/08/2021,19/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04321,2,Master of Advanced Journalism,Active,MC,Master's Coursework,72,0,0,0,G,Arts and Social Sciences,C04321,Master of Advanced Journalism,Master of Advanced Journalism,100703,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,11/03/2021,19/08/2021,19/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04324,5,Master of Strategic Supply Chain Management,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04324,Master of Strategic Supply Chain Management,M Strategic Supply Chain Mgmt,80301,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,23/06/2022,17/08/2022,17/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04324,5,Master of Strategic Supply Chain Management,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04324,Master of Strategic Supply Chain Management,M Strategic Supply Chain Mgmt,80301,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,23/06/2022,17/08/2022,17/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04325,5,Master of Strategic Supply Chain Management (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04325,Master of Strategic Supply Chain Management (Extension),M Strategic SCM Ext,80301,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,23/06/2022,17/08/2022,17/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04325,5,Master of Strategic Supply Chain Management (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04325,Master of Strategic Supply Chain Management (Extension),M Strategic SCM Ext,80301,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,23/06/2022,17/08/2022,17/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04362,2,Master of High Performance Sport,Active,MC,Master's Coursework,72,0,0,0,J,Health,C04362,Master of High Performance Sport,M High Performance Sport,69903,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10090,No,No,,0,48,48,26/05/2022,17/08/2022,17/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04362,2,Master of High Performance Sport,Active,MC,Master's Coursework,72,0,0,0,J,Health,C04362,Master of High Performance Sport,M High Performance Sport,69903,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,26/05/2022,17/08/2022,17/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04365,1,Master of Palliative Care,Active,MC,Master's Coursework,72,0,0,0,J,Health,C04365,Master of Palliative Care,Master of Palliative Care,69900,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10090,No,No,,0,48,48,6/03/2017,20/06/2022,20/06/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04365,1,Master of Palliative Care,Active,MC,Master's Coursework,72,0,0,0,J,Health,C04365,Master of Palliative Care,Master of Palliative Care,69900,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,6/03/2017,20/06/2022,20/06/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04368,3,Master of Event Management (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04368,Master of Event Management (Extension),MEvent Mgt(Extension),80399,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,7/06/2021,18/08/2021,18/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04368,3,Master of Event Management (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04368,Master of Event Management (Extension),MEvent Mgt(Extension),80399,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,7/06/2021,18/08/2021,18/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04369,3,Master of Sport Management (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04369,Master of Sport Management (Extension),MSport Mgt(Extension),80399,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,7/06/2021,18/08/2021,18/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04369,3,Master of Sport Management (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04369,Master of Sport Management (Extension),MSport Mgt(Extension),80399,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,7/06/2021,18/08/2021,18/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04370,1,Master of Data Science and Innovation,Active,MC,Master's Coursework,48,0,0,0,C,TD School,C04370,Master of Data Science and Innovation,MDataScInn,10199,Masters,Master's,1,Higher Degree Coursework,Course,,,,,,10120,No,No,,0,48,48,7/02/2022,21/06/2022,21/06/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04370,1,Master of Data Science and Innovation,Active,MC,Master's Coursework,48,0,0,0,C,TD School,C04370,Master of Data Science and Innovation,MDataScInn,10199,Masters,Master's,1,Higher Degree Coursework,Course,,,,,,20110,No,No,,0,48,48,7/02/2022,21/06/2022,21/06/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04370,1,Master of Data Science and Innovation,Active,MC,Master's Coursework,48,0,0,0,C,TD School,C04370,Master of Data Science and Innovation,MDataScInn,10199,Masters,Master's,1,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,7/02/2022,21/06/2022,21/06/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04370,1,Master of Data Science and Innovation,Active,MC,Master's Coursework,48,0,0,0,C,Transdisciplinary Innovation,C04370,Master of Data Science and Innovation,MDataScInn,10199,Masters,Master's,1,Higher Degree Coursework,Course,,,,,,10120,No,No,,0,48,48,7/02/2022,21/06/2022,21/06/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04370,1,Master of Data Science and Innovation,Active,MC,Master's Coursework,48,0,0,0,C,Transdisciplinary Innovation,C04370,Master of Data Science and Innovation,MDataScInn,10199,Masters,Master's,1,Higher Degree Coursework,Course,,,,,,20110,No,No,,0,48,48,7/02/2022,21/06/2022,21/06/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04370,1,Master of Data Science and Innovation,Active,MC,Master's Coursework,48,0,0,0,C,Transdisciplinary Innovation,C04370,Master of Data Science and Innovation,MDataScInn,10199,Masters,Master's,1,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,7/02/2022,21/06/2022,21/06/2022,AC,CR,N,N,MASTERS,MAST,,$HDC
C04371,3,Master of Not-for-Profit and Social Enterprise Management (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04371,Master of Not-for-Profit and Social Enterprise Management (Extension),MNFPSocEntM(Ext),80399,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,8/06/2021,18/08/2021,18/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04371,3,Master of Not-for-Profit and Social Enterprise Management (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04371,Master of Not-for-Profit and Social Enterprise Management (Extension),MNFPSocEntM(Ext),80399,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,8/06/2021,18/08/2021,18/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04372,3,Master of Data Science and Innovation,Active,MC,Master's Coursework,96,0,0,0,C,TD School,C04372,Master of Data Science and Innovation,Master of Data Science and Inn,10199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10120,No,No,,0,48,52,16/04/2020,14/09/2020,14/09/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04372,3,Master of Data Science and Innovation,Active,MC,Master's Coursework,96,0,0,0,C,TD School,C04372,Master of Data Science and Innovation,Master of Data Science and Inn,10199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,20110,No,No,,0,48,52,16/04/2020,14/09/2020,14/09/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04372,3,Master of Data Science and Innovation,Active,MC,Master's Coursework,96,0,0,0,C,TD School,C04372,Master of Data Science and Innovation,Master of Data Science and Inn,10199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,52,16/04/2020,14/09/2020,14/09/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04372,3,Master of Data Science and Innovation,Active,MC,Master's Coursework,96,0,0,0,C,Transdisciplinary Innovation,C04372,Master of Data Science and Innovation,Master of Data Science and Inn,10199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10120,No,No,,0,48,52,16/04/2020,14/09/2020,14/09/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04372,3,Master of Data Science and Innovation,Active,MC,Master's Coursework,96,0,0,0,C,Transdisciplinary Innovation,C04372,Master of Data Science and Innovation,Master of Data Science and Inn,10199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,20110,No,No,,0,48,52,16/04/2020,14/09/2020,14/09/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04372,3,Master of Data Science and Innovation,Active,MC,Master's Coursework,96,0,0,0,C,Transdisciplinary Innovation,C04372,Master of Data Science and Innovation,Master of Data Science and Inn,10199,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,52,16/04/2020,14/09/2020,14/09/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04373,2,Master of Quantitative Finance,Active,MC,Master's Coursework,72,0,0,0,N,Science,C04373,Master of Quantitative Finance,M Quantitative Finance,10100,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10100,No,No,,0,48,48,14/05/2020,27/10/2020,27/10/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04373,2,Master of Quantitative Finance,Active,MC,Master's Coursework,72,0,0,0,N,Science,C04373,Master of Quantitative Finance,M Quantitative Finance,10100,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,14/05/2020,27/10/2020,27/10/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04374,2,Master of Genetic Counselling,Active,MC,Master's Coursework,96,0,0,0,W,Graduate School of Health,C04374,Master of Genetic Counselling,MGenCouns,69999,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10095,No,No,,0,48,48,2/05/2019,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04374,2,Master of Genetic Counselling,Active,MC,Master's Coursework,96,0,0,0,W,Graduate School of Health,C04374,Master of Genetic Counselling,MGenCouns,69999,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,2/05/2019,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04378,1,Master of Health Policy and Economics,Active,MC,Master's Coursework,60,0,0,0,B,Business,C04378,Master of Health Policy and Economics,MHPolEcon,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,12/01/2018,21/07/2021,21/07/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04378,1,Master of Health Policy and Economics,Active,MC,Master's Coursework,60,0,0,0,B,Business,C04378,Master of Health Policy and Economics,MHPolEcon,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,12/01/2018,21/07/2021,21/07/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04379,2,Master of Business Analytics (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04379,Master of Business Analytics (Extension),MBus Analytics (Extension),80399,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,56,2/07/2021,24/08/2021,24/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04379,2,Master of Business Analytics (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04379,Master of Business Analytics (Extension),MBus Analytics (Extension),80399,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,56,2/07/2021,24/08/2021,24/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04380,2,Master of Business Analytics,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04380,Master of Business Analytics,MBus Analytics,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,56,2/07/2021,24/08/2021,24/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04380,2,Master of Business Analytics,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04380,Master of Business Analytics,MBus Analytics,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,56,2/07/2021,24/08/2021,24/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04381,3,Master of Financial Planning,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04381,Master of Financial Planning,MFinPlan,81199,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,2/07/2021,8/12/2021,8/12/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04381,3,Master of Financial Planning,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04381,Master of Financial Planning,MFinPlan,81199,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,2/07/2021,8/12/2021,8/12/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04382,2,Master of Marketing,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04382,Master of Marketing,MMktg,80505,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,8/06/2021,16/05/2023,16/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04382,2,Master of Marketing,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04382,Master of Marketing,MMktg,80505,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,8/06/2021,16/05/2023,16/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04383,2,Master of Marketing (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04383,Master of Marketing (Extension),MMktg (Extension),80505,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,48,8/06/2021,16/05/2023,16/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04383,2,Master of Marketing (Extension),Active,MC,Master's Coursework,96,0,0,0,B,Business,C04383,Master of Marketing (Extension),MMktg (Extension),80505,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,8/06/2021,16/05/2023,16/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04385,1,Master of Strategic Communication,Active,MC,Master's Coursework,72,0,0,0,G,Arts and Social Sciences,C04385,Master of Strategic Communication,MStratComm,80509,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10030,No,No,,0,48,48,12/02/2018,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04385,1,Master of Strategic Communication,Active,MC,Master's Coursework,72,0,0,0,G,Arts and Social Sciences,C04385,Master of Strategic Communication,MStratComm,80509,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,12/02/2018,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04386,2,Master of Speech Pathology,Active,MC,Master's Coursework,96,0,0,0,W,Graduate School of Health,C04386,Master of Speech Pathology,MSpPath,61707,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10095,No,No,,0,48,48,2/05/2019,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04386,2,Master of Speech Pathology,Active,MC,Master's Coursework,96,0,0,0,W,Graduate School of Health,C04386,Master of Speech Pathology,MSpPath,61707,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,2/05/2019,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04388,1,Master of Medical Biotechnology (Extension),Active,MC,Master's Coursework,96,0,0,0,N,Science,C04388,Master of Medical Biotechnology (Extension),MMedBiotech(Ext),10000,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10100,No,No,,0,48,48,1/03/2018,29/05/2023,29/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04388,1,Master of Medical Biotechnology (Extension),Active,MC,Master's Coursework,96,0,0,0,N,Science,C04388,Master of Medical Biotechnology (Extension),MMedBiotech(Ext),10000,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,1/03/2018,29/05/2023,29/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04389,1,Master of Philosophy in Medical Biotechnology,Active,MC,Master's Coursework,96,0,0,0,N,Science,C04389,Master of Philosophy in Medical Biotechnology,MPhilMedBiotech,10000,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10100,No,No,,0,48,48,1/03/2018,29/05/2023,29/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04389,1,Master of Philosophy in Medical Biotechnology,Active,MC,Master's Coursework,96,0,0,0,N,Science,C04389,Master of Philosophy in Medical Biotechnology,MPhilMedBiotech,10000,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,1/03/2018,29/05/2023,29/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04390,1,Master of Medical Biotechnology,Active,MC,Master's Coursework,72,0,0,0,N,Science,C04390,Master of Medical Biotechnology,MMedBiotech,10000,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10100,No,No,,0,48,48,1/03/2018,29/05/2023,29/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04390,1,Master of Medical Biotechnology,Active,MC,Master's Coursework,72,0,0,0,N,Science,C04390,Master of Medical Biotechnology,MMedBiotech,10000,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,1/03/2018,29/05/2023,29/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04391,1,Master of Forensic Science,Active,MC,Master's Coursework,72,0,0,0,N,Science,C04391,Master of Forensic Science,MForSc,19903,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10100,No,No,,0,48,48,9/03/2018,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04391,1,Master of Forensic Science,Active,MC,Master's Coursework,72,0,0,0,N,Science,C04391,Master of Forensic Science,MForSc,19903,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,9/03/2018,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04392,1,Master of Forensic Science (Extension),Active,MC,Master's Coursework,96,0,0,0,N,Science,C04392,Master of Forensic Science (Extension),MForSc (Extensn),19903,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10100,No,No,,0,48,48,9/03/2018,3/06/2021,3/06/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04392,1,Master of Forensic Science (Extension),Active,MC,Master's Coursework,96,0,0,0,N,Science,C04392,Master of Forensic Science (Extension),MForSc (Extensn),19903,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,9/03/2018,3/06/2021,3/06/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04393,1,Master of Philosophy in Forensic Science,Active,MC,Master's Coursework,96,0,0,0,N,Science,C04393,Master of Philosophy in Forensic Science,MPhilForSc,19903,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10100,No,No,,0,48,48,9/03/2018,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04393,1,Master of Philosophy in Forensic Science,Active,MC,Master's Coursework,96,0,0,0,N,Science,C04393,Master of Philosophy in Forensic Science,MPhilForSc,19903,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,9/03/2018,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04394,3,Master of Media Practice and Industry,Active,MC,Master's Coursework,72,0,0,0,G,Arts and Social Sciences,C04394,Master of Media Practice and Industry,MMediaPracInd,100701,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10030,No,No,,0,48,48,11/03/2021,29/05/2023,29/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04394,3,Master of Media Practice and Industry,Active,MC,Master's Coursework,72,0,0,0,G,Arts and Social Sciences,C04394,Master of Media Practice and Industry,MMediaPracInd,100701,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,11/03/2021,29/05/2023,29/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04395,1,Master of Pharmacy (International),Active,MC,Master's Coursework,156,0,0,0,W,Graduate School of Health,C04395,Master of Pharmacy (International),MPharm (Int),60501,Masters,Master's,3.5,Higher Degree Coursework,Course,,,,,,10095,No,No,,0,48,60,19/06/2018,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04395,1,Master of Pharmacy (International),Active,MC,Master's Coursework,156,0,0,0,W,Graduate School of Health,C04395,Master of Pharmacy (International),MPharm (Int),60501,Masters,Master's,3.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,60,19/06/2018,9/10/2019,9/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04397,2,Master of Advanced Journalism (Extension),Active,MC,Master's Coursework,96,0,0,0,G,Arts and Social Sciences,C04397,Master of Advanced Journalism (Extension),MAdvJour(Ext),100703,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10030,No,No,,0,48,48,11/03/2021,19/08/2021,19/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04397,2,Master of Advanced Journalism (Extension),Active,MC,Master's Coursework,96,0,0,0,G,Arts and Social Sciences,C04397,Master of Advanced Journalism (Extension),MAdvJour(Ext),100703,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,11/03/2021,19/08/2021,19/08/2021,AC,CR,N,N,MASTERS,MAST,,$HDC
C04403,1,Master of Creative Intelligence and Strategic Innovation,Active,MC,Master's Coursework,72,0,0,0,C,TD School,C04403,Master of Creative Intelligence and Strategic Innovation,M Creat Intell and Strat Inn,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10120,No,No,,0,48,72,21/03/2019,6/06/2023,6/06/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04403,1,Master of Creative Intelligence and Strategic Innovation,Active,MC,Master's Coursework,72,0,0,0,C,TD School,C04403,Master of Creative Intelligence and Strategic Innovation,M Creat Intell and Strat Inn,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,21035,No,No,,0,48,72,21/03/2019,6/06/2023,6/06/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04403,1,Master of Creative Intelligence and Strategic Innovation,Active,MC,Master's Coursework,72,0,0,0,C,TD School,C04403,Master of Creative Intelligence and Strategic Innovation,M Creat Intell and Strat Inn,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,72,21/03/2019,6/06/2023,6/06/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04403,1,Master of Creative Intelligence and Strategic Innovation,Active,MC,Master's Coursework,72,0,0,0,C,Transdisciplinary Innovation,C04403,Master of Creative Intelligence and Strategic Innovation,M Creat Intell and Strat Inn,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10120,No,No,,0,48,72,21/03/2019,6/06/2023,6/06/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04403,1,Master of Creative Intelligence and Strategic Innovation,Active,MC,Master's Coursework,72,0,0,0,C,Transdisciplinary Innovation,C04403,Master of Creative Intelligence and Strategic Innovation,M Creat Intell and Strat Inn,80399,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,21035,No,No,,0,48,72,21/03/2019,6/06/2023,6/06/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
